what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1263598091049
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1263598091059
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1263598091069
started,bundle,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui",1263598091069
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1263598091069
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1263598091069
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1263598091149
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1263598091159
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1263598091159
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1263598091159
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1263598091159
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1263598091159
os,sysinfo,,,"win32",1263598091169
arch,sysinfo,,,"x86",1263598091169
ws,sysinfo,,,"win32",1263598091169
locale,sysinfo,,,"de_DE",1263598091169
processors,sysinfo,,,"1",1263598091169
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1263598091169
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1263598091169
java.specification.name,sysinfo,,,"Java Platform API Specification",1263598091169
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263598091169
java.specification.version,sysinfo,,,"1.6",1263598091169
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1263598091169
java.version,sysinfo,,,"1.6.0_18",1263598091169
java.vm.info,sysinfo,,,"mixed mode",1263598091169
